Date,Open,High,Low,Close,Adj Close,Volume
2016-06-23,140.820007,141.460007,139.440002,140.119995,137.970749,58500
2016-06-24,135.139999,141.360001,133.199997,140.589996,138.433548,129700
2016-06-27,139.190002,143.300003,138.020004,141.089996,138.925858,123700
2016-06-28,142.229996,142.559998,139.369995,140.029999,137.882126,105700
2016-06-29,141.289993,143.369995,139.059998,142.520004,140.333969,97200
2016-06-30,143.330002,147.520004,143.119995,147.470001,145.208023,123100
2016-07-01,146.949997,146.949997,144.259995,144.820007,142.598709,75600
2016-07-05,144.880005,146.830002,142.720001,145.440002,143.209152,79300
2016-07-06,145.440002,145.910004,138.809998,144.759995,142.539597,100600
2016-07-07,144.470001,145.429993,143.300003,144.289993,142.076782,41900
2016-07-08,144.449997,147.119995,144.309998,145.309998,143.081177,68500
2016-07-11,144.649994,147.649994,144.619995,145.929993,143.691620,54100
2016-07-12,145.929993,148.119995,144.100006,146.449997,144.203690,96500
2016-07-13,145.839996,148.289993,144.800003,146.899994,144.646790,72800
2016-07-14,147.419998,148.750000,145.160004,146.380005,144.134766,136600
2016-07-15,146.380005,147.270004,142.820007,144.110001,141.899551,162300
2016-07-18,144.089996,144.990005,141.529999,144.690002,142.470657,128500
2016-07-19,143.860001,147.910004,143.539993,146.369995,144.124893,92000
2016-07-20,146.580002,152.259995,145.100006,148.610001,146.330536,157000
2016-07-21,147.869995,148.649994,145.500000,147.059998,144.804306,71100
2016-07-22,146.990005,151.279999,146.940002,149.300003,147.009964,57900
2016-07-25,150.110001,151.580002,147.380005,148.429993,146.153290,37200
2016-07-26,148.669998,149.229996,147.029999,147.619995,145.355682,57800
2016-07-27,147.000000,147.580002,140.100006,141.729996,139.792816,181000
2016-07-28,141.729996,144.199997,141.320007,143.940002,141.972626,88500
2016-07-29,144.350006,145.820007,140.100006,142.410004,140.463516,205800
2016-08-01,141.820007,145.229996,140.729996,144.509995,142.534821,85200
2016-08-02,145.110001,146.229996,142.070007,142.600006,140.650940,109000
2016-08-03,142.500000,143.929993,140.460007,142.419998,140.473419,56700
